time_pst,p_co2_in_water_ppm,water_level_m_navd88,temp_deg_c,windspeed_avg_m_s,doy,month,hour,white_noise
2023-08-25T15:00:00Z,619.8578,0.31690340000000017,11.9115,0.272,237,8,15,-0.15591592253393846
2023-08-25T18:00:00Z,516.1969,1.3294934000000005,12.6284,1.444,237,8,18,-1.0148354258515369
2023-08-25T21:00:00Z,519.1426,1.7357134000000003,12.7212,0.664,237,8,21,0.6582412431065214
2023-08-26T00:00:00Z,392.53934,1.7608834000000002,14.7454,3.473,238,8,0,-0.7875047637841889
2023-08-26T03:00:00Z,445.12692,2.0306334,13.2537,1.212,238,8,3,-0.04964001465466395
2023-08-26T06:00:00Z,499.00378,1.9136634000000003,13.4045,1.119,238,8,6,0.4960922157393882
2023-08-26T09:00:00Z,486.75226,0.9228434,13.0292,0.047,238,8,9,0.19729983507541546
2023-08-26T12:00:00Z,531.7716,-0.2593565999999998,13.0526,0,238,8,12,-0.5597647550035744
2023-08-26T15:00:00Z,544.75995,-0.13203659999999973,13.0019,1.659,238,8,15,-0.8949434613338552
2023-08-26T18:00:00Z,508.6086,1.0382234,12.3341,0.671,238,8,18,1.4701024667230937
2023-08-26T21:00:00Z,466.9879,1.8218834000000004,12.7504,2.884,238,8,21,0.16113477947340474
2023-08-27T00:00:00Z,218.26222,1.9432234000000004,15.5459,0.932,239,8,0,-1.636624351075823
2023-08-27T03:00:00Z,419.9557,2.0153134,13.7832,0.172,239,8,3,0.6758263491365413
2023-08-27T06:00:00Z,244.49171,2.0421834000000003,15.5562,0.322,239,8,6,-0.22833495341175775
2023-08-27T09:00:00Z,360.21967,1.3488734000000004,14.0047,0.038,239,8,9,-0.4267346546190327
2023-08-27T12:00:00Z,415.92706,-0.0632665999999995,13.6054,0.564,239,8,12,-0.9388053891975642
2023-08-27T15:00:00Z,390.93845,-0.5282765999999999,13.7398,1.043,239,8,15,1.055181000060747
2023-08-27T18:00:00Z,552.9183,0.5958234000000004,12.4287,2.79,239,8,18,1.1212126921974959
2023-08-27T21:00:00Z,472.74036,1.7962234000000004,12.9022,2.234,239,8,21,-0.36383891750298664
2023-08-28T00:00:00Z,404.90207,2.0326534,13.4848,1.728,240,8,0,-1.7407308081608703
2023-08-28T03:00:00Z,366.49054,1.8720834,14.1828,1.582,240,8,3,2.2664742329312206
2023-08-28T06:00:00Z,442.24002,2.1140834,13.1927,0.372,240,8,6,0.3318096659244532
2023-08-28T09:00:00Z,332.61328,1.7452534000000002,14.1835,0.613,240,8,9,-0.33494868402836936
2023-08-28T12:00:00Z,440.42795,0.3809634000000002,13.322,1.348,240,8,12,0.4717761270841433
2023-08-28T15:00:00Z,395.1243,-0.7289965999999994,13.6465,0.129,240,8,15,-1.195846782253442
2023-08-28T18:00:00Z,560.4781,0.05519340000000028,12.3252,0.824,240,8,18,-0.2455203630143631
2023-08-28T21:00:00Z,539.8702,1.6618934000000003,12.3969,0.143,240,8,21,-0.8097183535815241
2023-08-29T00:00:00Z,256.6257,1.9815134000000003,14.2747,2.791,241,8,0,0.8273139973838605
2023-08-29T03:00:00Z,271.53812,1.7311434000000003,14.1831,0.877,241,8,3,-1.4340442545819339
2023-08-29T06:00:00Z,518.12036,2.0099834000000003,12.8112,0.864,241,8,6,0.27345834770856503
2023-08-29T09:00:00Z,184.84277,2.0078834000000003,15.3085,2.099,241,8,9,-0.1882152433339446
2023-08-29T12:00:00Z,255.70897,0.8536334000000001,14.3138,0.315,241,8,12,-0.5509274638176195
2023-08-29T15:00:00Z,445.13535,-0.6534465999999997,13.3382,0.198,241,8,15,1.5389012499707386
2023-08-29T18:00:00Z,538.85516,-0.3494665999999995,12.5235,0.347,241,8,18,0.8571297526366557
2023-08-29T21:00:00Z,739.1804,1.3709834,11.2076,0.62,241,8,21,0.0628034469800478
2023-08-30T00:00:00Z,218.86137,1.9825034000000004,14.4978,0.667,242,8,0,-0.1142378260206162
2023-08-30T03:00:00Z,291.32297,1.6032834000000005,14.1151,0.535,242,8,3,-0.557407935416504
2023-08-30T06:00:00Z,512.14795,1.6656434000000002,12.8372,0.293,242,8,6,1.7531085350519116
2023-08-30T09:00:00Z,788.89795,2.1062234,NA,1.292,242,8,9,-2.0366938319969394
2023-08-30T12:00:00Z,377.4976,1.3680434000000004,13.2687,1.707,242,8,12,-1.636156967277537
